filename,true_stage,pred_stage,confidence,stage_scores
202311090555509eWyUn_jpg.rf.f7825a587b498e9e211a2c37893d14ba.jpg,1,2,0.511852972803821,"{3: 0.4881470271961789, 2: 0.511852972803821}"
202311140507485YT3wv_jpg.rf.1031c59f7ddafa0c68ed7c43201ac687.jpg,1,0,0.0,{}
202312240752033lv1EX_jpg.rf.3b65bd355cd4939f8730cde4e8576447.jpg,1,0,0.0,{}
20231224135435509UpD_jpg.rf.3092acf254489f0aeef597ce399e30bc.jpg,1,4,0.44306834610036666,"{4: 0.44306834610036666, 3: 0.26131546860233223, 5: 0.09222823257822832, 6: 0.16743485064638391, 2: 0.035953102072688856}"
202401020937479el5vT_jpg.rf.f4f73132c3d7d7b4ab713b6f866a36bf.jpg,1,2,0.5238170485556013,"{2: 0.5238170485556013, 3: 0.24951905140997116, 4: 0.2266639000344277}"
202401091258185i1XAv_jpg.rf.eb2174cd979011f9c7ec7c2b46330e0f.jpg,1,2,0.5305998637637055,"{2: 0.5305998637637055, 3: 0.3767879532834453, 4: 0.09261218295284923}"
2024011005233346UTOo_jpg.rf.ff2dac6398422762c9e86892345c8eaf.jpg,1,3,0.636849556564356,"{3: 0.636849556564356, 4: 0.36315044343564395}"
20240111140530a1LmVw_jpg.rf.977fdf5e94ff6e2168273d5d7af7a34b.jpg,1,3,0.7786081025021065,"{3: 0.7786081025021065, 2: 0.22139189749789348}"
20240113100243cYsaPh_jpg.rf.4847e31d078360c9a021c95070015eb8.jpg,1,2,0.6326833860488064,"{3: 0.24324169398851922, 2: 0.6326833860488064, 5: 0.12407491996267453}"
20240129090307iqpvZZ_jpg.rf.6dc3498c5b9d265f135165efe1d8fb03.jpg,1,3,0.462512204759728,"{3: 0.462512204759728, 4: 0.23741740822768487, 2: 0.3000703870125872}"
202402090616121bPjaV_jpg.rf.666ced168b7c40072b72f427c1eaa436.jpg,1,2,0.464978679240747,"{2: 0.464978679240747, 3: 0.35693517337630865, 4: 0.10654079833014443, 5: 0.07154534905279995}"
20240209063754yo7GoV_jpg.rf.04378c69a6d17ae1e4d27a6f1217bc0b.jpg,1,3,0.32851695179945384,"{3: 0.32851695179945384, 2: 0.3213944634166011, 5: 0.1700308108394274, 4: 0.1530637219029974, 7: 0.02699405204152032}"
20240211175131a0OZmc_jpg.rf.55ad5ce1f2beafff3d648b3b8b00f3cd.jpg,1,3,0.3570503756726759,"{2: 0.2621817808921356, 3: 0.3570503756726759, 6: 0.1513950511498507, 4: 0.15679155386227375, 7: 0.04180999763522529, 5: 0.030771240787838938}"
20240214173337HZZSRn_jpg.rf.89faf2153da419d9450a2648f04fa754.jpg,1,0,0.0,{}
20240217044736IcauP7_jpg.rf.630db56df4ba7c0261cbcc753a2631ea.jpg,1,3,0.3503032434192657,"{3: 0.3503032434192657, 2: 0.3092935544490201, 6: 0.10843307769337857, 5: 0.10338034929785928, 4: 0.12858977514047623}"
20240217170513PNFPeO_jpg.rf.9a121b7b79d8bea4d539cb98eb75c65a.jpg,1,0,0.0,{}
